trial_id,trial_type,condition,sequence,prompt,inclusive_answer,exclusive_answer_w1,exclusive_answer_w2,correct_answer
1,filler,all,"dog, green, potato, dog, orange, tomato","Remove all occurrences of dog in the following sequence: dog, green, potato, dog, orange, tomato. Respond directly with the remaining sequence.",,,,"green, potato, orange, tomato"
2,target,or_all_word,"purple, dog, orange, orange, potato, pink, dog","Remove all dog or orange in the following sequence: purple, dog, orange, orange, potato, pink, dog. Respond directly with the remaining sequence.","purple, potato, pink","purple, orange, orange, potato, pink","purple, dog, potato, pink, dog",
3,filler,and_multiple,"mango, grape, spinach, apple, potato","Remove mango and grape in the following sequence: mango, grape, spinach, apple, potato. Respond directly with the remaining sequence.",,,,"spinach, apple, potato"
4,target,or_all_word,"red, onion, pear, red, orange, orange, dog, orange","Remove all red or orange in the following sequence: red, onion, pear, red, orange, orange, dog, orange. Respond directly with the remaining sequence.","onion, pear, dog","onion, pear, orange, orange, dog, orange","red, onion, pear, red, dog",
5,filler,simple_multiple,"broccoli, apple, horse, cat, onion","Remove cat in the following sequence: broccoli, apple, horse, cat, onion. Respond directly with the remaining sequence.",,,,"broccoli, apple, horse, onion"
6,filler,and_multiple,"broccoli, white, cucumber, tomato, tiger","Remove tiger and tomato in the following sequence: broccoli, white, cucumber, tomato, tiger. Respond directly with the remaining sequence.",,,,"broccoli, white, cucumber"
7,target,or_word_word,"cucumber, onion, onion, strawberry, green, onion, bird, cucumber","Remove cucumber or onion in the following sequence: cucumber, onion, onion, strawberry, green, onion, bird, cucumber. Respond directly with the remaining sequence.","strawberry, green, bird","onion, onion, strawberry, green, onion, bird","cucumber, strawberry, green, bird, cucumber",
8,target,or_all_word,"potato, tomato, red, pink, dog, red, potato, potato","Remove all potato or red in the following sequence: potato, tomato, red, pink, dog, red, potato, potato. Respond directly with the remaining sequence.","tomato, pink, dog","tomato, red, pink, dog, red","potato, tomato, pink, dog, potato, potato",
9,filler,all,"white, white, broccoli, monkey, potato, green, white","Remove all occurrences of white in the following sequence: white, white, broccoli, monkey, potato, green, white. Respond directly with the remaining sequence.",,,,"broccoli, monkey, potato, green"
10,filler,all,"strawberry, monkey, blue, strawberry, potato, orange, strawberry","Remove all occurrences of strawberry in the following sequence: strawberry, monkey, blue, strawberry, potato, orange, strawberry. Respond directly with the remaining sequence.",,,,"monkey, blue, potato, orange"
11,filler,and_multiple,"purple, rabbit, banana, spinach, broccoli","Remove rabbit and purple in the following sequence: purple, rabbit, banana, spinach, broccoli. Respond directly with the remaining sequence.",,,,"banana, spinach, broccoli"
12,target,or_all_all,"tiger, potato, rabbit, tomato, potato, tiger, bird","Remove all tiger or all potato in the following sequence: tiger, potato, rabbit, tomato, potato, tiger, bird. Respond directly with the remaining sequence.","rabbit, tomato, bird","potato, rabbit, tomato, potato, bird","tiger, rabbit, tomato, tiger, bird",
13,target,or_all_word,"grape, banana, carrot, green, carrot, rabbit, grape, grape","Remove all grape or carrot in the following sequence: grape, banana, carrot, green, carrot, rabbit, grape, grape. Respond directly with the remaining sequence.","banana, green, rabbit","banana, carrot, green, carrot, rabbit","grape, banana, green, rabbit, grape, grape",
14,filler,and_multiple,"cherry, spinach, yellow, pear, fish","Remove spinach and fish in the following sequence: cherry, spinach, yellow, pear, fish. Respond directly with the remaining sequence.",,,,"cherry, yellow, pear"
15,filler,and_multiple,"tomato, blue, green, yellow, white","Remove yellow and tomato in the following sequence: tomato, blue, green, yellow, white. Respond directly with the remaining sequence.",,,,"blue, green, white"
16,target,or_word_word,"tiger, onion, tiger, spinach, spinach, banana, carrot, tiger","Remove tiger or spinach in the following sequence: tiger, onion, tiger, spinach, spinach, banana, carrot, tiger. Respond directly with the remaining sequence.","onion, banana, carrot","onion, spinach, spinach, banana, carrot","tiger, onion, tiger, banana, carrot, tiger",
17,target,or_word_word,"horse, horse, spinach, green, spinach, horse, apple, potato","Remove horse or spinach in the following sequence: horse, horse, spinach, green, spinach, horse, apple, potato. Respond directly with the remaining sequence.","green, apple, potato","spinach, green, spinach, apple, potato","horse, horse, green, horse, apple, potato",
18,target,or_all_word,"fish, bird, bird, monkey, green, green, potato, green","Remove all bird or green in the following sequence: fish, bird, bird, monkey, green, green, potato, green. Respond directly with the remaining sequence.","fish, monkey, potato","fish, monkey, green, green, potato, green","fish, bird, bird, monkey, potato",
19,filler,simple_multiple,"tomato, grape, dog, yellow, carrot","Remove yellow in the following sequence: tomato, grape, dog, yellow, carrot. Respond directly with the remaining sequence.",,,,"tomato, grape, dog, carrot"
20,filler,simple_multiple,"green, red, cucumber, pear, cat","Remove green in the following sequence: green, red, cucumber, pear, cat. Respond directly with the remaining sequence.",,,,"red, cucumber, pear, cat"
21,target,or_all_word,"red, banana, cucumber, black, banana, cucumber, cucumber, banana, bird","Remove all banana or cucumber in the following sequence: red, banana, cucumber, black, banana, cucumber, cucumber, banana, bird. Respond directly with the remaining sequence.","red, black, bird","red, cucumber, black, cucumber, cucumber, bird","red, banana, black, banana, banana, bird",
22,target,or_all_word,"fish, horse, fish, horse, cat, black, onion","Remove all fish or horse in the following sequence: fish, horse, fish, horse, cat, black, onion. Respond directly with the remaining sequence.","cat, black, onion","horse, horse, cat, black, onion","fish, fish, cat, black, onion",
23,target,or_all_all,"fish, orange, blue, fish, grape, fish, orange, tomato","Remove all fish or all orange in the following sequence: fish, orange, blue, fish, grape, fish, orange, tomato. Respond directly with the remaining sequence.","blue, grape, tomato","orange, blue, grape, orange, tomato","fish, blue, fish, grape, fish, tomato",
24,filler,and_multiple,"cucumber, horse, tiger, mango, white","Remove white and tiger in the following sequence: cucumber, horse, tiger, mango, white. Respond directly with the remaining sequence.",,,,"cucumber, horse, mango"
25,target,or_word_word,"orange, carrot, purple, purple, horse, white, white, purple","Remove purple or white in the following sequence: orange, carrot, purple, purple, horse, white, white, purple. Respond directly with the remaining sequence.","orange, carrot, horse","orange, carrot, horse, white, white","orange, carrot, purple, purple, horse, purple",
26,filler,all,"orange, apple, carrot, tiger, mango, mango","Remove all occurrences of mango in the following sequence: orange, apple, carrot, tiger, mango, mango. Respond directly with the remaining sequence.",,,,"orange, apple, carrot, tiger"
27,filler,simple_multiple,"cucumber, tomato, red, fish, spinach","Remove fish in the following sequence: cucumber, tomato, red, fish, spinach. Respond directly with the remaining sequence.",,,,"cucumber, tomato, red, spinach"
28,filler,all,"white, yellow, strawberry, white, white, broccoli, blue","Remove all occurrences of white in the following sequence: white, yellow, strawberry, white, white, broccoli, blue. Respond directly with the remaining sequence.",,,,"yellow, strawberry, broccoli, blue"
29,target,or_all_all,"pear, pear, mango, mango, mango, strawberry, horse, blue, pear","Remove all pear or all mango in the following sequence: pear, pear, mango, mango, mango, strawberry, horse, blue, pear. Respond directly with the remaining sequence.","strawberry, horse, blue","mango, mango, mango, strawberry, horse, blue","pear, pear, strawberry, horse, blue, pear",
30,filler,and_multiple,"blue, orange, pear, fish, cherry","Remove cherry and fish in the following sequence: blue, orange, pear, fish, cherry. Respond directly with the remaining sequence.",,,,"blue, orange, pear"
31,filler,simple_multiple,"cherry, black, mango, pink, fish","Remove black in the following sequence: cherry, black, mango, pink, fish. Respond directly with the remaining sequence.",,,,"cherry, mango, pink, fish"
32,target,or_word_word,"green, potato, black, potato, apple, pink, apple","Remove potato or apple in the following sequence: green, potato, black, potato, apple, pink, apple. Respond directly with the remaining sequence.","green, black, pink","green, black, apple, pink, apple","green, potato, black, potato, pink",
33,target,or_word_word,"black, grape, tomato, grape, fish, black, grape, black, banana","Remove black or grape in the following sequence: black, grape, tomato, grape, fish, black, grape, black, banana. Respond directly with the remaining sequence.","tomato, fish, banana","grape, tomato, grape, fish, grape, banana","black, tomato, fish, black, black, banana",
34,filler,and_multiple,"grape, cat, fish, spinach, dog","Remove spinach and cat in the following sequence: grape, cat, fish, spinach, dog. Respond directly with the remaining sequence.",,,,"grape, fish, dog"
35,target,or_all_all,"blue, white, blue, spinach, white, fish, carrot, white, blue","Remove all blue or all white in the following sequence: blue, white, blue, spinach, white, fish, carrot, white, blue. Respond directly with the remaining sequence.","spinach, fish, carrot","white, spinach, white, fish, carrot, white","blue, blue, spinach, fish, carrot, blue",
36,filler,all,"cherry, cherry, black, cherry, pink, dog, rabbit","Remove all occurrences of cherry in the following sequence: cherry, cherry, black, cherry, pink, dog, rabbit. Respond directly with the remaining sequence.",,,,"black, pink, dog, rabbit"
37,filler,all,"broccoli, broccoli, potato, spinach, strawberry, broccoli, dog","Remove all occurrences of broccoli in the following sequence: broccoli, broccoli, potato, spinach, strawberry, broccoli, dog. Respond directly with the remaining sequence.",,,,"potato, spinach, strawberry, dog"
38,target,or_word_word,"horse, cherry, mango, banana, monkey, cherry, mango","Remove cherry or mango in the following sequence: horse, cherry, mango, banana, monkey, cherry, mango. Respond directly with the remaining sequence.","horse, banana, monkey","horse, mango, banana, monkey, mango","horse, cherry, banana, monkey, cherry",
39,target,or_all_all,"mango, white, banana, monkey, dog, monkey, monkey, banana","Remove all banana or all monkey in the following sequence: mango, white, banana, monkey, dog, monkey, monkey, banana. Respond directly with the remaining sequence.","mango, white, dog","mango, white, monkey, dog, monkey, monkey","mango, white, banana, dog, banana",
